"instruction","input","output"
"Minh họa bìa sách về một con đường không có điểm cuối, nơi những người đi vào sẽ mãi mãi bước tiếp mà không thể quay đầu.","Đen u ám hòa cùng xám tro, phong cách kinh dị siêu thực","Một con đường dài vô tận chìm trong màn sương dày đặc. Trên bầu trời, không có mặt trời, chỉ có một ánh sáng lờ mờ từ một nguồn không xác định."
"Hãy thiết kế bìa sách cho một câu chuyện kể về một bộ tộc sống bên trong một ngọn núi lửa và có thể điều khiển dòng dung nham như nước.","","Một thành phố ẩn mình bên trong miệng núi lửa, những con sông dung nham chảy qua nhưng không làm tổn hại đến nơi đây. Dòng dung nham tạo thành một bức tường phòng thủ trước kẻ địch."
"Minh họa bìa sách về một khu vườn nơi thời gian trôi chậm lại, và bất kỳ ai bước vào đều không bao giờ già đi.","","Một khu vườn tuyệt đẹp với những loài hoa phát sáng trong đêm. Những chiếc lá rơi xuống nhưng chưa bao giờ chạm đất."
"Hãy thiết kế hình ảnh về một thư viện dưới lòng đất, nơi mỗi cuốn sách là một cánh cổng dẫn đến ký ức của người đã viết nó.","Nâu cổ kính kết hợp xanh đậm bí ẩn, phong cách ma thuật","Một thư viện khổng lồ, ánh sáng xanh nhạt tỏa ra từ những cuốn sách đang mở."
"Hãy minh họa bìa sách về một người có thể nghe thấy những câu chuyện của đồ vật chỉ bằng cách chạm vào chúng.","Xám kim loại hòa cùng tím mềm mại, phong cách kỳ bí","Một người đàn ông cầm một chiếc nhẫn cũ trên tay, đôi mắt anh ta mở to khi âm thanh từ quá khứ vang lên—tiếng cười của một cô gái, tiếng khóc nghẹn ngào, tiếng dao chạm vào kim loại. Mỗi món đồ xung quanh anh ta như thì thầm những câu chuyện bị lãng quên."
"Thiết kế bìa sách về một thế giới nơi bầu trời luôn có hai mặt trăng, và mỗi mặt trăng đại diện cho một loại phép thuật khác nhau.","Xanh đêm huyền bí kết hợp bạc ánh trăng, phong cách fantasy cổ tích","Một bầu trời đêm đầy sao với hai mặt trăng lớn, một sáng rực rỡ, một tối như bóng đêm. Bên dưới, hai pháp sư đang giao chiến, mỗi người điều khiển sức mạnh từ một mặt trăng khác nhau—một bên là ánh sáng, một bên là bóng tối."
"Hãy tạo bìa sách cho một câu chuyện kể về một thế giới nơi mọi người có thể mua bán giấc mơ như một loại hàng hóa.","","Một khu chợ trong mơ, những chai lọ thủy tinh chứa những giấc mơ đủ màu sắc đang được bày bán."
"Minh họa bìa sách về một ngôi nhà bị bỏ hoang, nhưng mỗi ngày đều có một bữa ăn nóng hổi được bày sẵn trên bàn.","Xám tro u tối kết hợp vàng nến ấm áp, phong cách kinh dị","Một căn nhà cũ kỹ giữa rừng, cửa sổ đầy bụi, nhưng bên trong, bàn ăn vẫn sáng đèn và thức ăn nóng hổi bốc khói."
"Hãy thiết kế hình ảnh về một hòn đảo nơi mỗi đêm, toàn bộ không gian đảo bị thay đổi thành một phiên bản khác của chính nó.","","Một hòn đảo giữa đại dương, ban ngày là một thiên đường nhiệt đới, nhưng vào ban đêm, nó biến thành một thế giới hoàn toàn khác—cây cối đổi màu, những con đường tự di chuyển, và các tòa nhà xoay chuyển vị trí."
"Hãy thiết kế bìa sách về một thị trấn nơi mỗi người dân đều có một chiếc chìa khóa, nhưng không ai biết ổ khóa của mình ở đâu.","","Một thị trấn nhỏ với những con đường rải đá. Hàng trăm ổ khóa treo trên một bức tường đá"
"Minh họa bìa sách về một con tàu bị mắc kẹt giữa hai thế giới—một nửa vẫn còn ở hiện tại, nửa còn lại đã trôi vào quá khứ.","Xanh đêm kết hợp cam rực lửa, phong cách viễn tưởng siêu thực","Một con tàu giữa đại dương, phía trước là biển đêm tĩnh lặng, phía sau là một cảnh tượng từ hàng trăm năm trước—thuyền buồm, những tòa nhà cũ kỹ. Một vết nứt thời gian cắt ngang thân tàu, như thể nó đang bị xé toạc giữa hai dòng thời gian."
"Thiết kế bìa sách cho một câu chuyện về một thư viện nơi mỗi cuốn sách đều là một thực thể sống và có thể thay đổi nội dung của nó mỗi khi ai đó đọc.","Đỏ rượu vang kết hợp nâu trầm, phong cách huyền bí","Một thư viện khổng lồ với những giá sách cao vút. Một số cuốn sách khác trên kệ đang thì thầm với nhau, như thể chúng có suy nghĩ riêng."
"Hãy tạo bìa sách cho một câu chuyện về một con phố nơi mỗi cánh cửa đều mở ra một thế giới khác, nhưng không ai biết cánh cửa nào sẽ đưa họ về nhà.","Xanh cổ tích kết hợp ánh trắng bí ẩn, phong cách kỳ ảo","Một con phố dài với hàng chục cánh cửa đủ màu sắc. Một số cánh cửa khác đang hé mở, lộ ra những cảnh tượng khác nhau—rừng xanh, sa mạc, đại dương, và cả không gian vô tận."
"Minh họa bìa sách về một thế giới nơi bóng của mọi người có ý thức riêng và đôi khi có thể hành động ngược lại với chủ nhân của nó.","Đen tuyền kết hợp xanh ánh trăng, phong cách kinh dị siêu thực","Một con phố vắng vẻ về đêm, ánh đèn đường hắt bóng của một người đi bộ. Nhưng khi nhìn kỹ, bóng của anh ta không phản chiếu tư thế của chủ nhân mà đang tự ý cử động, quay đầu nhìn thẳng vào người thật với đôi mắt phát sáng lạnh lẽo."
